title,paragraphs
Explain about fail safe iterators in java?,"Fail safe iterators are iterators which does not throw concurrent modification exception, when one thread modifies collection and other thread in the process of iterating the collection.
It does not throw concurrent modification exception because when other thread was iterating it does not modify original list but creates a copy of list with modified contents so that the iterator won’t know the modifications made to original list.
Ex : copyOnWriteArrayList
Core java Serialization interview questions"
 What is serialization in java?,"Serialization is the process of converting an object in to bytes, so that it can be transmitted over the network,or stored in a flat file and can be recreated later. Serialized object is an object represented as sequence of bytes that includes objects data, object type, and the types of data stored in the object."
 What is the main purpose of serialization in java?,"The main uses of serialization are :
1) Persistence:
We can write data to a file or database and can be used later by deserializing it.
2) Communication :
To pass an object over network by making remote procedure call.
3) Copying :
We can create duplicates of original object by using byte array.
4) To distribute objects across different JVMs."
What are alternatives to java serialization?,"XML based data transfer JSON based data transfer.
XML based data transfer : We can use JIBX or JAXB where we can marshall our object’s data to xml and transfer data and then unmarshall and convert to object.
JSON based transfer : We can use json to transfer data."
 Explain about serializable interface in java?,"To implement serialization in java there is an interface defined in java.io package called serializable interface. Java.io.Serializable interface is an marker interface which doesnot contain any any methods. A class implements Serializable lets the JVM know that the instances of the class can be serialized.
Syntax:
public interface Serializable {
}"
How to make object serializable in java?,"1) Our class must implement serializable interface.If our object contains other objects those class must also implement serializable interface.
2) We use ObjectOutputStream which extends OutputStream used to write objects to a stream.
3) We use ObjectInputStream which extends InputStream used to read objects from stream"
What happens if we don’t define serial version UID ?,"If we don’t define serial version UID JVM will create one suid for us. But it is recommended to have suid rather than JVM creating because at run time JVM has to compute the hashcode of all the properties of class. This process makes serialization low. We can’t serialize static fields one exception to this is suid where suid gets serialized along with the object.
Ex :private static final long serialVersionUID = -5885568094444284875L;"
Can we serialize static variables in java?,"We can’t serialize static variables in java. The reason being static variable are class variables that belongs to a class not to object, but serialization mechanism saves only the object state not the class state."
 If we don’t want some of the fields not to serialize How to do that?,If we don’t want to serialize some fields during serialization we declare those variables as transient. During deserialization transient variables are initialized with default values for primitives and null for object references.
 What are the main features of Java?,"Below is the list of features of java.

a) Object Oriented
b) Simple
c) Platform Independent
d) Secured
e) Robust
f) Portable
g) Multithreaded
h) Distributed

Click here to see these features in detail."
What are the fundamental principles of object oriented programming?,"a) Inheritance

b) Abstraction

c) Polymorphism

d) Encapsulation"
What do you mean by inheritance in java?,"Inheritance is one of the key principle of object oriented programming. Through inheritance, one class can inherit the properties of another class. The class from which properties are inherited is called super class and the class to which properties are inherited is called sub class.

Click here to see more info on Inheritance in java."
What is constructor overloading? What is the use of constructor overloading?,"A class can have any number of constructors. These constructors will have different list of arguments. It is called constructor overloading. Constructor overloading provides different ways to instantiate a class.

Click here to see more on constructors in java."
What is polymorphism in java?,"Polymorphism refers to any entity whether it is a method or a constructor or an operator which takes many forms or can be used for multiple tasks.

Click here to see more info on polymorphism in java."
What is the method overloading in java?,"If a class has more than one method with same name but with different list of arguments, then it is called method overloading.

Click here to see more on method overloading in java."
What is the method overriding?,If a super class method is modified in the sub class then it is called method overriding.
 Does java supports multiple inheritance?,Java supports multiple inheritance but only through interfaces. That means a class can implement more than one interfaces but can not extend more than one class.
What is the difference between constructor and method?,"Constructor is a special member of a class which is used to create the objects to the class. It is special because it will have same name as class. It will have no return type.

Method is ordinary member of a class which is used to implement some behavior of a class. It will have it’s own name and return type."
Can we overload the main() method?,"Yes, we can overload a main() method. A class can have any number of main() methods. But, one of those must be in the form “public static void main(String[] args)” in order to start the execution."
"How the exceptions are handled in java? OR Explain try, catch and finally blocks in java?","Java has it’s own mechanism to handle the exceptions. In Java, exceptions are handled using three blocks – try, catch and finally blocks.

try block – The code to be monitored for exceptions will be kept in this block.

catch block – If any exceptions occurred in try block, those exceptions will be caught by this block.

finally block – This block will be always executed whether exception is raised or not and raised exceptions are caught or not."
What are PATH and CLASSPATH?,PATH and CLASSPATH are two environment variables which need to be set in order to compile and run the java programs.
What is multithreaded programming?,Multithreaded programming is one of the key features of java which allows multiple threads to execute their task simultaneously.
What are the differences between static and non-static methods?,Static method is common to all instances of a class. Static methods are stored in the class memory. Where as non-static methods are stored in the object memory. Each instance of a class will have their own copy of non-static methods.
What are the different ways of creating threads in java?,"There are two ways to create the threads in java

a) By extending java.lang.Thread class.

b) By implementing java.lang.Runnable interface."
What is synchronization in java?,Synchronization is a way of controlling the access of a method or a block by multiple threads. Only one thread can enter into a method or a block which has been declared as synchronized. Synchronization is one of the way to achieve thread safety.
What is the use of final keyword in java?,"final keyword in java is used to restrict the modification of a class or a method or a variable. A final class can not be extended, a final method can not be overridden and we can not change the value of a final variable."
What is garbage collection in java?,Removing unwanted objects or abandoned objects from the memory is called garbage collection. Garbage collection is done automatically in java. You need not to remove the unwanted objects explicitly. Garbage collector thread does this for you. click here to see how garbage collector thread works in java.
What is cloning in java?,"Cloning is a process of creating an exact copy of an existing object in the memory. Cloning may be shallow or deep. In java, clone() method is used to create a clone of an object."
 What is Java?,"Java is the high-level, object-oriented, robust, secure programming language, platform-independent, high performance, Multithreaded, and portable programming language. It was developed by James Gosling in June 1991. It can also be known as the platform as it provides its own JRE and API."
List the features of Java Programming language.,"There are the following features in Java Programming Language.
 
 Simple: Java is easy to learn. The syntax of Java is based on C++ which makes easier to write the program in it.
 
 Object-Oriented: Java follows the object-oriented paradigm which allows us to maintain our code as the combination of different type of objects that incorporates both data and behavior.
 
 Portable: Java supports read-once-write-anywhere approach. We can execute the Java program on every machine. Java program (.java) is converted to bytecode (.class) which can be easily run on every machine.
 
 Platform Independent: Java is a platform independent programming language. It is different from other programming languages like C and C++ which needs a platform to be executed. Java comes with its platform on which its code is executed. Java doesn't depend upon the operating system to be executed.
 
 Secured: Java is secured because it doesn't use explicit pointers. Java also provides the concept of ByteCode and Exception handling which makes it more secured.
 
 Robust: Java is a strong programming language as it uses strong memory management. The concepts like Automatic garbage collection, Exception handling, etc. make it more robust.
 
 Architecture Neutral: Java is architectural neutral as it is not dependent on the architecture. In C, the size of data types may vary according to the architecture (32 bit or 64 bit) which doesn't exist in Java.
 
 Interpreted: Java uses the Just-in-time (JIT) interpreter along with the compiler for the program execution.
 
 High Performance: Java is faster than other traditional interpreted programming languages because Java bytecode is ""close"" to native code. It is still a little bit slower than a compiled language (e.g., C++).
 
 Multithreaded: We can write Java programs that deal with many tasks at once by defining multiple threads. The main advantage of multi-threading is that it doesn't occupy memory for each thread. It shares a common memory area. Threads are important for multi-media, Web applications, etc.
 
 Distributed: Java is distributed because it facilitates users to create distributed applications in Java. RMI and EJB are used for creating distributed applications. This feature of Java makes us able to access files by calling the methods from any machine on the internet.
 
 Dynamic: Java is a dynamic language. It supports dynamic loading of classes. It means classes are loaded on demand. It also supports functions from its native languages, i.e., C and C++."
What do you understand by Java virtual machine?,Java Virtual Machine is a virtual machine that enables the computer to run the Java program. JVM acts like a run-time engine which calls the main method present in the Java code. JVM is the specification which must be implemented in the computer system. The Java code is compiled by JVM to be a Bytecode which is machine independent and close to the native code.
" What is the difference between JDK, JRE, and JVM?","JVM
 JVM is an acronym for Java Virtual Machine; it is an abstract machine which provides the runtime environment in which Java bytecode can be executed. It is a specification which specifies the working of Java Virtual Machine. Its implementation has been provided by Oracle and other companies. Its implementation is known as JRE.
 
 JVMs are available for many hardware and software platforms (so JVM is platform dependent). It is a runtime instance which is created when we run the Java class. There are three notions of the JVM: specification, implementation, and instance.
 
 JRE
 JRE stands for Java Runtime Environment. It is the implementation of JVM. The Java Runtime Environment is a set of software tools which are used for developing Java applications. It is used to provide the runtime environment. It is the implementation of JVM. It physically exists. It contains a set of libraries + other files that JVM uses at runtime.
 
 JDK
 JDK is an acronym for Java Development Kit. It is a software development environment which is used to develop Java applications and applets. It physically exists. It contains JRE + development tools. JDK is an implementation of any one of the below given Java Platforms released by Oracle Corporation:
 
 Standard Edition Java Platform
 Enterprise Edition Java Platform
 Micro Edition Java Platform"
How many types of memory areas are allocated by JVM?,"Many types:
 
 Class(Method) Area: Class Area stores per-class structures such as the runtime constant pool, field, method data, and the code for methods.
 Heap: It is the runtime data area in which the memory is allocated to the objects
 Stack: Java Stack stores frames. It holds local variables and partial results, and plays a part in method invocation and return. Each thread has a private JVM stack, created at the same time as the thread. A new frame is created each time a method is invoked. A frame is destroyed when its method invocation completes.
 Program Counter Register: PC (program counter) register contains the address of the Java virtual machine instruction currently being executed.
 Native Method Stack: It contains all the native methods used in the application."
What is JIT compiler?,"Just-In-Time(JIT) compiler: It is used to improve the performance. JIT compiles parts of the bytecode that have similar functionality at the same time, and hence reduces the amount of time needed for compilation. Here the term “compiler” refers to a translator from the instruction set of a Java virtual machine (JVM) to the instruction set of a specific CPU."
 What is the platform?,"A platform is the hardware or software environment in which a piece of software is executed. There are two types of platforms, software-based and hardware-based. Java provides the software-based platform."
What are the main differences between the Java platform and other platforms?,"There are the following differences between the Java platform and other platforms.
 
 Java is the software-based platform whereas other platforms may be the hardware platforms or software-based platforms.
 Java is executed on the top of other hardware platforms whereas other platforms can only have the hardware components."
What gives Java its 'write once and run anywhere' nature?,The bytecode. Java compiler converts the Java programs into the class file (Byte Code) which is the intermediate language between source code and machine code. This bytecode is not platform specific and can be executed on any computer.
 What is classloader?,"Classloader is a subsystem of JVM which is used to load class files. Whenever we run the java program, it is loaded first by the classloader. There are three built-in classloaders in Java.
 
 Bootstrap ClassLoader: This is the first classloader which is the superclass of Extension classloader. It loads the rt.jar file which contains all class files of Java Standard Edition like java.lang package classes, java.net package classes, java.util package classes, java.io package classes, java.sql package classes, etc.
 Extension ClassLoader: This is the child classloader of Bootstrap and parent classloader of System classloader. It loads the jar files located inside $JAVA_HOME/jre/lib/ext directory.
 System/Application ClassLoader: This is the child classloader of Extension classloader. It loads the class files from the classpath. By default, the classpath is set to the current directory. You can change the classpath using ""-cp"" or ""-classpath"" switch. It is also known as Application classloader."
 What are the various access specifiers in Java?,"In Java, access specifiers are the keywords which are used to define the access scope of the method, class, or a variable. In Java, there are four access specifiers given below.
 
 Public The classes, methods, or variables which are defined as public, can be accessed by any class or method.
 Protected Protected can be accessed by the class of the same package, or by the sub-class of this class, or within the same class.
 Default Default are accessible within the package only. By default, all the classes, methods, and variables are of default scope.
 Private The private class, methods, or variables defined as private can be accessed within the class only."
What is the purpose of static methods and variables?,"The methods or variables defined as static are shared among all the objects of the class. The static is the part of the class and not of the object. The static variables are stored in the class area, and we do not need to create the object to access such variables. Therefore, static is used in the case, where we need to define variables or methods which are common to all the objects of the class.
 
 For example, In the class simulating the collection of the students in a college, the name of the college is the common attribute to all the students. Therefore, the college name will be defined as static."
What are the advantages of Packages in Java?,"There are various advantages of defining packages in Java.
 
 Packages avoid the name clashes.
 The Package provides easier access control.
 We can also have the hidden classes that are not visible outside and used by the package.
 It is easier to locate the related classes."
 What is object-oriented paradigm?,"It is a programming paradigm based on objects having data and methods defined in the class to which it belongs. Object-oriented paradigm aims to incorporate the advantages of modularity and reusability. Objects are the instances of classes which interacts with one another to design applications and programs. There are the following features of the object-oriented paradigm.
 
 Follows the bottom-up approach in program design.
 Focus on data with methods to operate upon the object's data
 Includes the concept like Encapsulation and abstraction which hides the complexities from the user and show only functionality.
 Implements the real-time approach like inheritance, abstraction, etc.
 The examples of the object-oriented paradigm are C++, Simula, Smalltalk, Python, C#, etc."
What is an object?,"The Object is the real-time entity having some state and behavior. In Java, Object is an instance of the class having the instance variables as the state of the object and the methods as the behavior of the object. The object of a class can be created by using the new keyword."
What is the difference between an object-oriented programming language and object-based programming language?,"There are the following basic differences between the object-oriented language and object-based language.
 
 Object-oriented languages follow all the concepts of OOPs whereas, the object-based language doesn't follow all the concepts of OOPs like inheritance and polymorphism.
 Object-oriented languages do not have the inbuilt objects whereas Object-based languages have the inbuilt objects, for example, JavaScript has window object.
 Examples of object-oriented programming are Java, C#, Smalltalk, etc. whereas the examples of object-based languages are JavaScript, VBScript, etc."
What will be the initial value of an object reference which is defined as an instance variable?,All object references are initialized to null in Java.
 What is the constructor?,"The constructor can be defined as the special type of method that is used to initialize the state of an object. It is invoked when the class is instantiated, and the memory is allocated for the object. Every time, an object is created using the new keyword, the default constructor of the class is called. The name of the constructor must be similar to the class name. The constructor must not have an explicit return type."
How many types of constructors are used in Java?,"Based on the parameters passed in the constructors, there are two types of constructors in Java.
 
 Default Constructor: default constructor is the one which does not accept any value. The default constructor is mainly used to initialize the instance variable with the default values. It can also be used for performing some useful task on object creation. A default constructor is invoked implicitly by the compiler if there is no constructor defined in the class.
 Parameterized Constructor: The parameterized constructor is the one which can initialize the instance variables with the given values. In other words, we can say that the constructors which can accept the arguments are called parameterized constructors."
What is the purpose of a default constructor?,The purpose of the default constructor is to assign the default value to the objects. The java compiler creates a default constructor implicitly if there is no constructor in the class.
Does constructor return any value?,"yes, The constructor implicitly returns the current instance of the class (You can't use an explicit return type with the constructor)."
Is constructor inherited?,"No, The constructor is not inherited."
Can you make a constructor final?,"No, the constructor can't be final."
Can we overload the constructors?,"Yes, the constructors can be overloaded by changing the number of arguments accepted by the constructor or by changing the data type of the parameters."
What do you understand by copy constructor in Java?,"There is no copy constructor in java. However, we can copy the values from one object to another like copy constructor in C++.
 
 There are many ways to copy the values of one object into another in java. They are:
 
 By constructor
 By assigning the values of one object into another
 By clone() method of Object class"
What are the differences between the constructors and methods?,"A constructor is used to initialize the state of an object. A method is used to expose the behavior of an object.
 A constructor must not have a return type. A method must have a return type.
 The constructor is invoked implicitly. The method is invoked explicitly.
 The Java compiler provides a default constructor if you don't have any constructor in a class. The method is not provided by the compiler in any case.
 The constructor name must be same as the class name. The method name may or may not be same as class name."
 What is the static variable?,"The static variable is used to refer to the common property of all objects (that is not unique for each object), e.g., The company name of employees, college name of students, etc. Static variable gets memory only once in the class area at the time of class loading. Using a static variable makes your program more memory efficient (it saves memory). Static variable belongs to the class rather than the object."
 What is the static method?,"A static method belongs to the class rather than the object.
 There is no need to create the object to call the static methods.
 A static method can access and change the value of the static variable."
What are the restrictions that are applied to the Java static methods?,"Two main restrictions are applied to the static methods.
 
 The static method can not use non-static data member or call the non-static method directly.
 this and super cannot be used in static context as they are non-static."
Why is the main method static?,"Because the object is not required to call the static method. If we make the main method non-static, JVM will have to create its object first and then call main() method which will lead to the extra memory allocation."
Can we override the static methods?,"No, we can't override static methods."
What is the static block?,"Static block is used to initialize the static data member. It is executed before the main method, at the time of classloading."
Can we execute a program without main() method?,"Yes, one of the ways to execute the program without the main method is using static block"
What if the static modifier is removed from the signature of the main method?,"Program compiles. However, at runtime, It throws an error ""NoSuchMethodError."""
 What is the difference between static (class) method and instance method?,"1)A method that is declared as static is known as the static method. A method that is not declared as static is known as the instance method.
 2)We don't need to create the objects to call the static methods. The object is required to call the instance methods.
 3)Non-static (instance) members cannot be accessed in the static context (static method, static block, and static nested class) directly. Static and non-static variables both can be accessed in instance methods.
 4)For example: public static int cube(int n){ return n*n*n;} For example: public void msg(){...}."
Can we make constructors static?,"As we know that the static context (method, block, or variable) belongs to the class, not the object. Since Constructors are invoked only when the object is created, there is no sense to make the constructors static. However, if you try to do so, the compiler will show the compiler error."
Can we make the abstract methods static in Java?,"In Java, if we make the abstract methods static, It will become the part of the class, and we can directly call it which is unnecessary. Calling an undefined method is completely useless therefore it is not allowed."
Can we declare the static variables and methods in an abstract class?,"Yes, we can declare static variables and methods in an abstract method. As we know that there is no requirement to make the object to access the static context, therefore, we can access the static context declared inside the abstract class by using the name of the abstract class."
What is this keyword in java?,"The this keyword is a reference variable that refers to the current object. There are the various uses of this keyword in Java. It can be used to refer to current class properties such as instance methods, variable, constructors, etc. It can also be passed as an argument into the methods or constructors. It can also be returned from the method as the current class instance."
What are the main uses of this keyword?,"There are the following uses of this keyword.
 
 this can be used to refer to the current class instance variable.
 this can be used to invoke current class method (implicitly)
 this() can be used to invoke the current class constructor.
 this can be passed as an argument in the method call.
 this can be passed as an argument in the constructor call.
 this can be used to return the current class instance from the method."
 Can we assign the reference to this variable?,"No, this cannot be assigned to any value because it always points to the current class object and this is the final reference in Java. However, if we try to do so, the compiler error will be shown."
 Can this keyword be used to refer static members?,"Yes, It is possible to use this keyword to refer static members because this is just a reference variable which refers to the current class object. However, as we know that, it is unnecessary to access static variables through objects, therefore, it is not the best practice to use this to refer static members. Consider the following example."
What are the advantages of passing this into a method instead of the current class object itself?,"As we know, that this refers to the current class object, therefore, it must be similar to the current class object. However, there can be two main advantages of passing this into a method instead of the current class object.
 
 this is a final variable. Therefore, this cannot be assigned to any new value whereas the current class object might not be final and can be changed.
 this can be used in the synchronized block."
 What is the Inheritance?,"Inheritance is a mechanism by which one object acquires all the properties and behavior of another object of another class. It is used for Code Reusability and Method Overriding. The idea behind inheritance in Java is that you can create new classes that are built upon existing classes. When you inherit from an existing class, you can reuse methods and fields of the parent class. Moreover, you can add new methods and fields in your current class also. Inheritance represents the IS-A relationship which is also known as a parent-child relationship.
 
 There are five types of inheritance in Java.
 
 Single-level inheritance
 Multi-level inheritance
 Multiple Inheritance
 Hierarchical Inheritance
 Hybrid Inheritance
 Multiple inheritance is not supported in Java through class."
Why is Inheritance used in Java?,"There are various advantages of using inheritance in Java that is given below.
 
 Inheritance provides code reusability. The derived class does not need to redefine the method of base class unless it needs to provide the specific implementation of the method.
 Runtime polymorphism cannot be achieved without using inheritance.
 We can simulate the inheritance of classes with the real-time objects which makes OOPs more realistic.
 Inheritance provides data hiding. The base class can hide some data from the derived class by making it private.
 Method overriding cannot be achieved without inheritance. By method overriding, we can give a specific implementation of some basic method contained by the base class."
Which class is the superclass for all the classes?,The object class is the superclass of all other classes in Java.
Why is multiple inheritance not supported in java?,"To reduce the complexity and simplify the language, multiple inheritance is not supported in java. Consider a scenario where A, B, and C are three classes. The C class inherits A and B classes. If A and B classes have the same method and you call it from child class object, there will be ambiguity to call the method of A or B class.
 
 Since the compile-time errors are better than runtime errors, Java renders compile-time error if you inherit 2 classes. So whether you have the same method or different, there will be a compile time error."
What is aggregation?,"Aggregation can be defined as the relationship between two classes where the aggregate class contains a reference to the class it owns. Aggregation is best described as a has-a relationship. For example, The aggregate class Employee having various fields such as age, name, and salary also contains an object of Address class having various fields such as Address-Line 1, City, State, and pin-code. In other words, we can say that Employee (class) has an object of Address class."
What is composition?,"Holding the reference of a class within some other class is known as composition. When an object contains the other object, if the contained object cannot exist without the existence of container object, then it is called composition. In other words, we can say that composition is the particular case of aggregation which represents a stronger relationship between two objects. Example: A class contains students. A student cannot exist without a class. There exists composition between class and students."
What is the difference between aggregation and composition?,"Aggregation represents the weak relationship whereas composition represents the strong relationship. For example, the bike has an indicator (aggregation), but the bike has an engine (composition)."
 Why does Java not support pointers?,The pointer is a variable that refers to the memory address. They are not used in Java because they are unsafe(unsecured) and complex to understand.
What is super in java?,"The super keyword in Java is a reference variable that is used to refer to the immediate parent class object. Whenever you create the instance of the subclass, an instance of the parent class is created implicitly which is referred by super reference variable. The super() is called in the class constructor implicitly by the compiler if there is no super or this."
What are the main uses of the super keyword?,"There are the following uses of super keyword.
 
 super can be used to refer to the immediate parent class instance variable.
 super can be used to invoke the immediate parent class method.
 super() can be used to invoke immediate parent class constructor."
What are the differences between this and super keyword?,"There are the following differences between this and super keyword.
 
 The super keyword always points to the parent class contexts whereas this keyword always points to the current class context.
 The super keyword is primarily used for initializing the base class variables within the derived class constructor whereas this keyword primarily used to differentiate between local and instance variables when passed in the class constructor.
 The super and this must be the first statement inside constructor otherwise the compiler will throw an error."
Can you use this() and super() both in a constructor?,"No, because this() and super() must be the first statement in the class constructor."
What is object cloning?,"The object cloning is used to create the exact copy of an object. The clone() method of the Object class is used to clone an object. The java.lang.Cloneable interface must be implemented by the class whose object clone we want to create. If we don't implement Cloneable interface, clone() method generates CloneNotSupportedException."
 What is method overloading?,"Method overloading is the polymorphism technique which allows us to create multiple methods with the same name but different signature. We can achieve method overloading in two ways.
 
 Changing the number of arguments
 Changing the return type
 Method overloading increases the readability of the program. Method overloading is performed to figure out the program quickly."
Why is method overloading not possible by changing the return type in java?,"In Java, method overloading is not possible by changing the return type of the program due to avoid the ambiguity."
Can we overload the methods by making them static?,"No, We cannot overload the methods by just applying the static keyword to them(number of parameters and types are the same)."
Can we overload the main() method?,"Yes, we can have any number of main methods in a Java program by using method overloading."
 What is method overriding:,"If a subclass provides a specific implementation of a method that is already provided by its parent class, it is known as Method Overriding. It is used for runtime polymorphism and to implement the interface methods.
 
 Rules for Method overriding
 
 The method must have the same name as in the parent class.
 The method must have the same signature as in the parent class.
 Two classes must have an IS-A relationship between them."
 Can we override the static method?,"No, you can't override the static method because they are the part of the class, not the object."
Why can we not override static method?,"It is because the static method is the part of the class, and it is bound with class whereas instance method is bound with the object, and static gets memory in class area, and instance gets memory in a heap."
 Can we override the overloaded method?,Yes
Difference between method Overloading and Overriding.,"1) Method overloading increases the readability of the program. Method overriding provides the specific implementation of the method that is already provided by its superclass.
 2) Method overloading occurs within the class. Method overriding occurs in two classes that have IS-A relationship between them.
 3) In this case, the parameters must be different. In this case, the parameters must be the same."
 Can we override the private methods?,"No, we cannot override the private methods because the scope of private methods is limited to the class and we cannot access them outside of the class."
Can we change the scope of the overridden method in the subclass?,"Yes, we can change the scope of the overridden method in the subclass. However, we must notice that we cannot decrease the accessibility of the method. The following point must be taken care of while changing the accessibility of the method.
 
 The private can be changed to protected, public, or default.
 The protected can be changed to public or default.
 The default can be changed to public.
 The public will always remain public."
What is covariant return type?,"Now, since java5, it is possible to override any method by changing the return type if the return type of the subclass overriding method is subclass type. It is known as covariant return type. The covariant return type specifies that the return type may vary in the same direction as the subclass."
What is the final variable?,"In Java, the final variable is used to restrict the user from updating it. If we initialize the final variable, we can't change its value. In other words, we can say that the final variable once assigned to a value, can never be changed after that. The final variable which is not assigned to any value can only be assigned through the class constructor."
 Can we initialize the final blank variable?,"Yes, if it is not static, we can initialize it in the constructor. If it is static blank final variable, it can be initialized only in the static block"
Can you declare the main method as final?,"Yes, We can declare the main method as public static final void main(String[] args){}."
 Can we declare a constructor as final?,"The constructor can never be declared as final because it is never inherited. Constructors are not ordinary methods; therefore, there is no sense to declare constructors as final. However, if you try to do so, The compiler will throw an error."
Can we declare an interface as final?,"No, we cannot declare an interface as final because the interface must be implemented by some class to provide its definition. Therefore, there is no sense to make an interface final. However, if you try to do so, the compiler will show an error."
What is the difference between the final method and abstract method?,The main difference between the final method and abstract method is that the abstract method cannot be final as we need to override them in the subclass to give its definition.
What is the difference between an Inner Class and a Sub-Class?,"An Inner class is a class which is nested within another class. An Inner class has access rights for the class which is nesting it and it can access all variables and methods defined in the outer class.
 
 A sub-class is a class which inherits from another class called super class. Sub-class can access all public and protected methods and fields of its super class."
What are the various access specifiers for Java classes?,"In Java, access specifiers are the keywords used before a class name which defines the access scope. The types of access specifiers for classes are:
 
 1. Public : Class,Method,Field is accessible from anywhere.
 
 2. Protected:Method,Field can be accessed from the same class to which they belong or from the sub-classes,and from the class of same package,but not from outside.
 
 3. Default: Method,Field,class can be accessed only from the same package and not from outside of it's native package.
 
 4. Private: Method,Field can be accessed from the same class to which they belong."
What's the purpose of Static methods and static variables?,"When there is a requirement to share a method or a variable between multiple objects of a class instead of creating separate copies for each object, we use static keyword to make a method or variable shared for all objects."
What is data encapsulation and what's its significance?,"Encapsulation is a concept in Object Oriented Programming for combining properties and methods in a single unit.
 
 Encapsulation helps programmers to follow a modular approach for software development as each object has its own set of methods and variables and serves its functions independent of other objects. Encapsulation also serves data hiding purpose."
What is a singleton class? Give a practical example of its usage.,"A singleton class in java can have only one instance and hence all its methods and variables belong to just one instance. Singleton class concept is useful for the situations when there is a need to limit the number of objects for a class.
 
 The best example of singleton usage scenario is when there is a limit of having only one connection to a database due to some driver limitations or because of any licensing issues."
What are Loops in Java? What are three types of loops?,"Looping is used in programming to execute a statement or a block of statement repeatedly. There are three types of loops in Java: 1) For Loops
 
 For loops are used in java to execute statements repeatedly for a given number of times. For loops are used when number of times to execute the statements is known to programmer.
 
 2) While Loops
 
 While loop is used when certain statements need to be executed repeatedly until a condition is fulfilled. In while loops, condition is checked first before execution of statements.
 
 3) Do While Loops
 
 Do While Loop is same as While loop with only difference that condition is checked after execution of block of statements. Hence in case of do while loop, statements are executed at least once."
What is an infinite Loop? How infinite loop is declared?,"An infinite loop runs without any condition and runs infinitely. An infinite loop can be broken by defining any breaking logic in the body of the statement blocks.
 
 Infinite loop is declared as follows:
 
 for (;;)
 {
  // Statements to execute
 
  // Add any loop breaking logic
 }"
Q8. What is the difference between continue and break statement?,"break and continue are two important keywords used in Loops. When a break keyword is used in a loop, loop is broken instantly while when continue keyword is used, current iteration is broken and loop continues with next iteration.
 
 In below example, Loop is broken when counter reaches 4.
 
 for (counter = 0; counter & lt; 10; counter++)
  system.out.println(counter);
 
 if (counter == 4) {
 
  break;
 }
 
 }
 In the below example when counter reaches 4, loop jumps to next iteration and any statements after the continue keyword are skipped for current iteration.
 
 for (counter = 0; counter < 10; counter++)
  system.out.println(counter);
 
 if (counter == 4) {
 
  continue;
 }
 system.out.println(""This will not get printed when counter is 4"");
 }"
What is the difference between double and float variables in Java?,"In java, float takes 4 bytes in memory while Double takes 8 bytes in memory. Float is single precision floating point decimal number while Double is double precision decimal number."
What is Final Keyword in Java? Give an example.,"In java, a constant is declared using the keyword Final. Value can be assigned only once and after assignment, value of a constant can't be changed.
 
 In below example, a constant with the name const_val is declared and assigned avalue:
 
 Private Final int const_val=100
 
 
 When a method is declared as final,it can NOT be overridden by the subclasses.This method are faster than any other method,because they are resolved at complied time.
 
 When a class is declares as final,it cannot be subclassed. Example String,Integer and other wrapper classes."
What is ternary operator? Give an example.,"Ternary operator , also called conditional operator is used to decide which value to assign to a variable based on a Boolean value evaluation. It's denoted as ?
 
 In the below example, if rank is 1, status is assigned a value of ""Done"" else ""Pending"".
 
 public class conditionTest {
  public static void main(String args[]) {
  String status;
  int rank = 3;
  status = (rank == 1) ? ""Done"" : ""Pending"";
  System.out.println(status);
  }
 }"
How can you generate random numbers in Java?,"Using Math.random() you can generate random numbers in the range greater than or equal to 0.1 and less than 1.0
 Using Random class in package java.util"
What is default switch case? Give example.,"In a switch statement, default case is executed when no other switch condition matches. Default case is an optional case .It can be declared only once all other switch cases have been coded.
 
 In the below example, when score is not 1 or 2, default case is used.
 
 public class switchExample {
  int score = 4;
  public static void main(String args[]) {
  switch (score) {
  case 1:
  system.out.println(""Score is 1"");
  break;
  case 2:
  system.out.println(""Score is 2"");
  break;
  default:
  system.out.println(""Default Case"");
  }
  }
 }"
What's the base class in Java from which all classes are derived?,java.lang.object
Can main() method in Java can return any data?,"In java, main() method can't return any data and hence, it's always declared with a void return type."
What are Java Packages? What's the significance of packages?,"In Java, package is a collection of classes and interfaces which are bundled together as they are related to each other. Use of packages helps developers to modularize the code and group the code for proper re-use. Once code has been packaged in Packages, it can be imported in other classes and used."
Can we declare a class as Abstract without having any abstract method?,"Yes we can create an abstract class by using abstract keyword before class name even if it doesn't have any abstract method. However, if a class has even one abstract method, it must be declared as abstract otherwise it will give an error."
What's the difference between an Abstract Class and Interface in Java?,"Yes we can create an abstract class by using abstract keyword before class name even if it doesn't have any abstract method. However, if a class has even one abstract method, it must be declared as abstract otherwise it will give an error."
What are the performance implications of Interfaces over abstract classes?,"Interfaces are slower in performance as compared to abstract classes as extra indirections are required for interfaces. Another key factor for developers to take into consideration is that any class can extend only one abstract class while a class can implement many interfaces.
 
 Use of interfaces also puts an extra burden on the developers as any time an interface is implemented in a class; developer is forced to implement each and every method of interface."
Does Importing a package imports its sub-packages as well in Java?,"In java, when a package is imported, its sub-packages aren't imported and developer needs to import them separately if required.
 
 For example, if a developer imports a package university.*, all classes in the package named university are loaded but no classes from the sub-package are loaded. To load the classes from its sub-package ( say department), developer has to import it explicitly as follows:
 
 Import university.department.*"
